SPIAresult.Cell_1	SPIAresult.Cell_2	SPIAresult.Distance	SPIAresult.SPIA_Score	SPIAresult.SNP_available	SPIAresult.Total_SNP	SPIAresult.One_SNP_NA	SPIAresult.Bot_SNP_NA	SPIAresult.Diff_AvsB_or_BvsA	SPIAresult.Diff_AorBvsAB_or_vic	SPIAresult.DiffABvsAorB	SPIAresult.counterBothHomoz	SPIAresult.counterBothHeter
NA12414	NA12775	0.68116	Different	138	143	5	0	12	82	42	22	22
NA12414	NA12812	0.66912	Different	136	143	7	0	19	72	43	12	33
NA12414	NA12815	0.67176	Different	131	143	12	0	21	67	31	19	24
NA12414	NA12829	0.62205	Different	127	143	16	0	12	67	33	22	26
NA12414	NA12830	0.65414	Different	133	143	10	0	13	74	40	18	28
NA12414	NA12842	0.57522	Different	113	143	30	0	19	46	27	17	31
NA12414	NA12843	0.57246	Different	138	143	5	0	15	64	31	29	30
NA12414	NA12872	0.73684	Different	133	143	10	0	21	77	43	10	25
NA12414	NA12873	0.63846	Different	130	143	13	0	16	67	43	15	32
NA12414	NA12874	0.69231	Different	130	143	12	1	21	69	35	18	22
NA12414	NA12889	0.62338	Not Valid	77	143	64	2	7	41	35	6	23
NA12414	NA12890	0.59259	Different	135	143	8	0	15	65	40	18	37
NA12489	NA12748	0.54918	Different	122	143	20	1	8	59	22	3	52
NA12489	NA12750	0.62903	Different	124	143	19	0	11	67	10	12	34
NA12489	NA12760	0.58537	Different	123	143	20	0	8	64	17	8	43
NA12489	NA12761	0.55372	Different	121	143	22	0	10	57	15	7	47
NA12489	NA12762	0.45161	Uncertain	124	143	19	0	5	51	16	12	56
NA12489	NA12763	0.53846	Different	117	143	25	1	6	57	18	7	47
NA12489	NA12775	0.58065	Different	124	143	19	0	6	66	15	12	40
NA12489	NA12812	0.4878	Different	123	143	19	1	3	57	18	12	51
NA12489	NA12815	0.63248	Different	117	143	26	0	4	70	18	9	34
NA12489	NA12829	0.5641	Different	117	143	22	4	0	66	15	14	37
NA12489	NA12830	0.475	Different	120	143	22	1	6	51	14	12	51
NA12489	NA12842	0.56566	Not Valid	99	143	44	0	4	52	15	7	36
NA12489	NA12843	0.60484	Different	124	143	19	0	9	66	16	8	41
NA12489	NA12872	0.54622	Different	119	143	24	0	6	59	15	9	45
NA12489	NA12873	0.4569	Uncertain	116	143	27	0	5	48	16	10	53
NA12489	NA12874	0.6087	Different	115	143	28	0	13	57	11	6	39
NA12489	NA12889	0.36232	Not Valid	69	143	66	8	1	24	11	4	40
NA12489	NA12890	0.47541	Different	122	143	20	1	4	54	18	11	53
NA12748	NA12750	0.61594	Different	138	143	5	0	11	74	19	26	27
NA12748	NA12760	0.57664	Different	137	143	6	0	14	65	24	18	40
NA12748	NA12761	0.4963	Different	135	143	8	0	8	59	24	22	46
NA12748	NA12762	0.61594	Different	138	143	5	0	13	72	34	10	43
NA12748	NA12763	0.53435	Different	131	143	11	1	12	58	26	15	46
NA12748	NA12775	0.61594	Different	138	143	5	0	17	68	25	14	39
NA12748	NA12812	0.57353	Different	136	143	7	0	14	64	29	12	46
NA12748	NA12815	0.62595	Different	131	143	12	0	13	69	25	17	32
NA12748	NA12829	0.74016	Different	127	143	16	0	12	82	35	8	25
NA12748	NA12830	0.67669	Different	133	143	10	0	12	78	34	10	33
NA12748	NA12842	0.58772	Different	114	143	28	1	14	53	23	12	35
NA12748	NA12843	0.57246	Different	138	143	5	0	18	61	20	19	40
NA12748	NA12872	0.63158	Different	133	143	10	0	15	69	30	10	39
NA12748	NA12873	0.51538	Different	130	143	13	0	14	53	26	15	48
NA12748	NA12874	0.66667	Different	129	143	14	0	11	75	27	15	28
NA12748	NA12889	0.55696	Not Valid	79	143	60	4	1	43	28	4	31
NA12748	NA12890	0.625	Different	136	143	6	1	9	76	37	10	41
NA12750	NA12760	0.65	Different	140	143	3	0	27	64	40	24	25
NA12750	NA12761	0.61871	Different	139	143	3	1	11	75	50	30	23
NA12750	NA12762	0.58865	Different	141	143	2	0	18	65	48	27	31
NA12750	NA12763	0.66165	Different	133	143	10	0	22	66	47	19	26
NA12750	NA12775	0.73759	Different	141	143	2	0	28	76	47	18	19
NA12750	NA12812	0.66187	Different	139	143	4	0	16	76	53	22	25
NA12750	NA12815	0.64925	Different	134	143	9	0	18	69	40	30	17
NA12750	NA12829	0.60769	Different	130	143	13	0	14	65	39	30	21
NA12750	NA12830	0.625	Different	136	143	7	0	17	68	45	26	25
NA12750	NA12842	0.7069	Different	116	143	27	0	16	66	43	17	17
NA12750	NA12843	0.7234	Different	141	143	2	0	18	84	49	25	14
NA12750	NA12872	0.67647	Different	136	143	7	0	29	63	43	17	27
NA12750	NA12873	0.67164	Different	134	143	8	1	21	69	50	17	27
NA12750	NA12874	0.59848	Different	132	143	11	0	23	56	35	31	22
NA12750	NA12889	0.59494	Not Valid	79	143	63	1	8	39	37	10	22
NA12750	NA12890	0.68841	Different	138	143	5	0	17	78	56	20	23
NA12760	NA12761	0.67153	Different	137	143	6	0	13	79	43	17	28
NA12760	NA12762	0.59286	Different	140	143	3	0	10	73	43	22	35
NA12760	NA12763	0.60606	Different	132	143	11	0	16	64	38	16	36
NA12760	NA12775	0.69286	Different	140	143	3	0	20	77	39	16	27
NA12760	NA12812	0.7029	Different	138	143	5	0	14	83	48	12	29
NA12760	NA12815	0.62406	Different	133	143	10	0	19	64	31	24	26
NA12760	NA12829	0.62791	Different	129	143	14	0	16	65	33	21	27
NA12760	NA12830	0.64444	Different	135	143	8	0	12	75	41	21	27
NA12760	NA12842	0.59829	Different	117	143	24	2	14	56	32	18	29
NA12760	NA12843	0.65	Different	140	143	3	0	25	66	31	19	30
NA12760	NA12872	0.62222	Different	135	143	8	0	14	70	38	21	30
NA12760	NA12873	0.53788	Different	132	143	11	0	15	56	35	21	40
NA12760	NA12874	0.61832	Different	131	143	12	0	22	59	28	21	29
NA12760	NA12889	0.46835	Not Valid	79	143	62	2	3	34	26	9	33
NA12760	NA12890	0.61314	Different	137	143	6	0	14	70	44	17	36
NA12761	NA12762	0.6087	Different	138	143	5	0	15	69	37	14	40
NA12761	NA12763	0.59542	Different	131	143	11	1	14	64	33	14	39
NA12761	NA12775	0.55797	Different	138	143	5	0	28	49	21	17	44
NA12761	NA12812	0.52941	Different	136	143	7	0	11	61	32	20	44
NA12761	NA12815	0.60305	Different	131	143	12	0	11	68	26	23	29
NA12761	NA12829	0.51969	Different	127	143	16	0	14	52	23	26	35
NA12761	NA12830	0.59398	Different	133	143	10	0	14	65	32	17	37
NA12761	NA12842	0.66667	Different	114	143	28	1	16	60	30	10	28
NA12761	NA12843	0.57246	Different	138	143	5	0	10	69	29	27	32
NA12761	NA12872	0.58955	Different	134	143	8	1	10	69	33	19	36
NA12761	NA12873	0.58015	Different	131	143	11	1	9	67	37	16	39
NA12761	NA12874	0.62791	Different	129	143	14	0	13	68	28	19	29
NA12761	NA12889	0.55263	Not Valid	76	143	66	1	4	38	29	5	29
NA12761	NA12890	0.59259	Different	135	143	8	0	9	71	39	17	38
NA12762	NA12763	0.6391	Different	133	143	10	0	11	74	37	12	36
NA12762	NA12775	0.64539	Different	141	143	2	0	17	74	30	15	35
NA12762	NA12812	0.57554	Different	139	143	4	0	12	68	34	16	43
NA12762	NA12815	0.70896	Different	134	143	9	0	16	79	30	11	28
NA12762	NA12829	0.59231	Different	130	143	13	0	12	65	25	19	34
NA12762	NA12830	0.60294	Different	136	143	7	0	10	72	33	17	37
NA12762	NA12842	0.64957	Different	117	143	25	1	9	67	31	11	30
NA12762	NA12843	0.66667	Different	141	143	2	0	21	73	29	13	34
NA12762	NA12872	0.57353	Different	136	143	7	0	17	61	27	16	42
NA12762	NA12873	0.61654	Different	133	143	10	0	10	72	36	11	40
NA12762	NA12874	0.65414	Different	133	143	9	1	22	65	25	13	33
NA12762	NA12889	0.56962	Not Valid	79	143	63	1	3	42	29	4	30
NA12762	NA12890	0.61594	Different	138	143	5	0	9	76	40	13	40
NA12763	NA12775	0.59398	Different	133	143	10	0	14	65	28	17	37
NA12763	NA12812	0.58779	Different	131	143	12	0	14	63	31	13	41
NA12763	NA12815	0.6063	Different	127	143	15	1	18	59	21	18	32
NA12763	NA12829	0.57377	Different	122	143	21	0	15	55	22	19	33
NA12763	NA12830	0.64844	Different	128	143	15	0	15	68	32	12	33
NA12763	NA12842	0.63063	Different	111	143	29	3	4	66	32	16	25
NA12763	NA12843	0.6015	Different	133	143	10	0	17	63	24	18	35
NA12763	NA12872	0.58594	Different	128	143	15	0	11	64	30	16	37
NA12763	NA12873	0.59524	Different	126	143	16	1	11	64	32	11	40
NA12763	NA12874	0.608	Different	125	143	17	1	17	59	22	16	33
NA12763	NA12889	0.6	Not Valid	75	143	63	5	3	42	27	2	28
NA12763	NA12890	0.60769	Different	130	143	13	0	8	71	37	13	38
NA12775	NA12812	0.65468	Different	139	143	4	0	20	71	42	12	36
NA12775	NA12815	0.67164	Different	134	143	9	0	17	73	33	19	25
NA12775	NA12829	0.69231	Different	130	143	13	0	22	68	34	15	25
NA12775	NA12830	0.58824	Different	136	143	7	0	18	62	34	21	35
NA12775	NA12842	0.61207	Different	116	143	27	0	16	55	30	15	30
NA12775	NA12843	0.70922	Different	141	143	2	0	18	82	40	18	23
NA12775	NA12872	0.60294	Different	136	143	7	0	21	61	33	18	36
NA12775	NA12873	0.63158	Different	133	143	10	0	20	64	38	10	39
NA12775	NA12874	0.62879	Different	132	143	11	0	27	56	25	17	32
NA12775	NA12889	0.64103	Not Valid	78	143	65	0	6	44	33	3	25
NA12775	NA12890	0.63768	Different	138	143	5	0	15	73	44	15	35
NA12812	NA12815	0.54545	Different	132	143	11	0	14	58	21	24	36
NA12812	NA12829	0.57031	Different	128	143	15	0	12	61	24	21	34
NA12812	NA12830	0.53731	Different	134	143	9	0	8	64	29	23	39
NA12812	NA12842	0.61404	Different	114	143	29	0	11	59	29	13	31
NA12812	NA12843	0.68345	Different	139	143	4	0	15	80	32	14	30
NA12812	NA12872	0.5	Different	134	143	9	0	11	56	24	24	43
NA12812	NA12873	0.57576	Different	132	143	10	1	5	71	37	17	39
NA12812	NA12874	0.58015	Different	131	143	11	1	13	63	24	22	33
NA12812	NA12889	0.60256	Not Valid	78	143	63	2	2	45	30	2	29
NA12812	NA12890	0.58824	Different	136	143	7	0	10	70	37	14	42
NA12815	NA12829	0.67742	Different	124	143	18	1	19	65	35	18	22
NA12815	NA12830	0.68217	Different	129	143	14	0	15	73	43	17	24
NA12815	NA12842	0.63636	Different	110	143	32	1	16	54	33	13	27
NA12815	NA12843	0.63433	Different	134	143	9	0	20	65	33	23	26
NA12815	NA12872	0.65116	Different	129	143	14	0	18	66	39	17	28
NA12815	NA12873	0.65625	Different	128	143	13	2	17	67	43	14	30
NA12815	NA12874	0.56	Different	125	143	18	0	13	57	29	29	26
NA12815	NA12889	0.58667	Not Valid	75	143	64	4	3	41	32	8	23
NA12815	NA12890	0.61069	Different	131	143	12	0	19	61	39	16	35
NA12829	NA12830	0.61417	Different	127	143	14	2	7	71	39	23	26
NA12829	NA12842	0.62963	Different	108	143	32	3	7	61	34	17	23
NA12829	NA12843	0.69231	Different	130	143	13	0	15	75	37	18	22
NA12829	NA12872	0.56	Different	125	143	18	0	15	55	30	22	33
NA12829	NA12873	0.65041	Different	123	143	19	1	9	71	44	14	29
NA12829	NA12874	0.60331	Different	121	143	22	0	20	53	27	22	26
NA12829	NA12889	0.49315	Not Valid	73	143	64	6	5	31	26	9	28
NA12829	NA12890	0.66142	Different	127	143	16	0	14	70	41	12	31
NA12830	NA12842	0.56637	Different	113	143	28	2	13	51	28	18	31
NA12830	NA12843	0.61029	Different	136	143	7	0	12	71	31	23	30
NA12830	NA12872	0.51908	Different	131	143	12	0	19	49	24	20	43
NA12830	NA12873	0.46094	Uncertain	128	143	15	0	11	48	28	22	47
NA12830	NA12874	0.59055	Different	127	143	16	0	27	48	19	17	35
NA12830	NA12889	0.57333	Not Valid	75	143	66	2	4	39	29	4	28
NA12830	NA12890	0.49254	Different	134	143	8	1	9	57	34	24	44
NA12842	NA12843	0.62069	Different	116	143	27	0	15	57	24	16	28
NA12842	NA12872	0.64602	Different	113	143	28	2	12	61	29	13	27
NA12842	NA12873	0.57798	Different	109	143	33	1	11	52	30	12	34
NA12842	NA12874	0.44954	Uncertain	109	143	32	2	8	41	16	28	32
NA12842	NA12889	0.54286	Not Valid	70	143	56	17	1	37	27	6	26
NA12842	NA12890	0.55263	Different	114	143	28	1	5	58	33	17	34
NA12843	NA12872	0.73529	Different	136	143	7	0	12	88	50	16	20
NA12843	NA12873	0.57143	Different	133	143	10	0	16	60	38	18	39
NA12843	NA12874	0.70455	Different	132	143	11	0	21	72	36	17	22
NA12843	NA12889	0.59494	Not Valid	79	143	63	1	4	43	33	6	26
NA12843	NA12890	0.63768	Different	138	143	5	0	10	78	48	19	31
NA12872	NA12873	0.51163	Different	129	143	13	1	12	54	30	20	43
NA12872	NA12874	0.60156	Different	128	143	14	1	22	55	24	19	32
NA12872	NA12889	0.57143	Not Valid	77	143	62	4	4	40	29	3	30
NA12872	NA12890	0.68421	Different	133	143	10	0	12	79	43	9	33
NA12873	NA12874	0.616	Different	125	143	17	1	20	57	20	13	35
NA12873	NA12889	0.51948	Not Valid	77	143	59	7	5	35	24	4	33
NA12873	NA12890	0.56154	Different	130	143	13	0	10	63	32	14	43
NA12874	NA12889	0.54795	Not Valid	73	143	66	4	2	38	32	10	23
NA12874	NA12890	0.64341	Different	129	143	14	0	11	72	47	17	29
NA12889	NA12890	0.46753	Not Valid	77	143	64	2	5	31	10	5	36
